Census_Tract,County,State,State_Abbr,Resilience_Score,Health_Burden,Urban_Rural,Population_2010,Poverty_Rate,Median_Income,GEOID,latitude,longitude
48027023202,Bell County,Texas,TX,2.716,-1.246,Urban,5198,16.0,40346.0,48027023202,31.1272747,-97.7767498
48041001301,Brazos County,Texas,TX,2.713,-1.239,Urban,2547,37.8,40487.0,48041001301,30.6382251,-96.3233783
48453001864,Travis County,Texas,TX,2.711,-1.079,Urban,2814,10.9,68802.0,48453001864,30.4490699,-97.7018504
48099010504,Coryell County,Texas,TX,2.71,-1.215,Urban,2671,8.4,51250.0,48099010504,31.1154776,-97.8433591
2020000300,Anchorage Municipality,Alaska,AK,2.704,-1.709,Urban,8000,4.5,62114.0,02020000300,61.2847446,-149.6539729
1081040400,Lee County,Alabama,AL,2.701,-0.616,Urban,6960,33.7,77529.0,01081040400,32.5860083,-85.480959
51059416200,Fairfax County,Virginia,VA,2.695,-1.394,Urban,5280,4.9,78906.0,51059416200,38.6904794,-77.1510948
17097863004,Lake County,Illinois,IL,2.693,-1.254,Urban,4578,20.7,63542.0,17097863004,42.3046634,-87.8642657
33017080204,Strafford County,New Hampshire,NH,2.692,-1.661,Urban,4144,48.8,163750.0,33017080204,43.148966,-70.9423924
4013114100,Maricopa County,Arizona,AZ,2.69,-1.38,Urban,2401,26.3,148036.0,04013114100,33.4477675,-112.0738956
1081040300,Lee County,Alabama,AL,2.687,-0.608,Urban,2470,29.2,90893.0,01081040300,32.6017297,-85.4670439
2020000400,Anchorage Municipality,Alaska,AK,2.685,-1.699,Urban,5937,4.4,57244.0,02020000400,61.2666682,-149.8308576
17077011400,Jackson County,Illinois,IL,2.675,-1.251,Urban,3840,55.4,53167.0,17077011400,37.7079486,-89.1927187
53053072901,Pierce County,Washington,WA,2.673,-1.641,Urban,2507,9.4,55927.0,53053072901,47.1296327,-122.4909192
16065950302,Madison County,Idaho,ID,2.672,-1.358,Urban,10815,42.9,21760.0,16065950302,43.8070974,-111.8024146
42027011300,Centre County,Pennsylvania,PA,2.671,-1.166,Urban,8430,33.9,58750.0,42027011300,40.838017,-77.9072809
42019910400,Butler County,Pennsylvania,PA,2.67,-1.168,Urban,3625,35.0,79805.0,42019910400,41.0695007,-80.0579707
39133601503,Portage County,Ohio,OH,2.67,-0.704,Urban,4402,55.7,62206.0,39133601503,41.1408686,-81.3267948
42041013102,Cumberland County,Pennsylvania,PA,2.668,-1.158,Urban,5304,43.5,55417.0,42041013102,40.0645756,-77.5073117
47065012400,Hamilton County,Tennessee,TN,2.668,-0.894,Urban,5092,42.8,131027.0,47065012400,35.0440253,-85.2978673
42081000800,Lycoming County,Pennsylvania,PA,2.656,-1.136,Urban,2380,59.2,24659.0,42081000800,41.2337094,-77.0244754
45075011200,Orangeburg County,South Carolina,SC,2.655,-0.941,Urban,2843,22.3,35982.0,45075011200,33.49868,-80.84401
48453002421,Travis County,Texas,TX,2.653,-1.044,Urban,7443,13.7,66864.0,48453002421,30.162876,-97.8065168
53029970200,Island County,Washington,WA,2.652,-1.638,Urban,1633,38.7,47946.0,53029970200,48.3399471,-122.6683853
42125792200,Washington County,Pennsylvania,PA,2.652,-1.116,Urban,3007,29.7,42418.0,42125792200,40.0469557,-79.8949847
48029181901,Bexar County,Texas,TX,2.641,-1.201,Urban,3452,32.4,120341.0,48029181901,29.5969455,-98.6099198
26161411200,Washtenaw County,Michigan,MI,2.638,-0.978,Urban,2357,32.5,37500.0,26161411200,42.2569473,-83.620159
6111004600,Ventura County,California,CA,2.636,-1.52,Urban,2126,8.4,47694.0,06111004600,34.1061415,-119.1161812
26145010200,Saginaw County,Michigan,MI,2.634,-0.982,Urban,5078,21.4,71042.0,26145010200,43.5055528,-83.9851921
48041001604,Brazos County,Texas,TX,2.629,-1.189,Urban,5560,39.6,60195.0,48041001604,30.5957722,-96.3154431
48121021100,Denton County,Texas,TX,2.625,-1.156,Urban,2843,39.5,51393.0,48121021100,33.2104184,-97.1348764
30031001102,Gallatin County,Montana,MT,2.625,-1.423,Urban,2249,22.8,118194.0,30031001102,45.6394477,-111.0758146
1081040603,Lee County,Alabama,AL,2.625,-0.571,Urban,988,37.2,36536.0,01081040603,32.598547,-85.5163458
