TractFIPS,StateAbbr,burden,resid,resilience_score,GEOID
01097000600,AL,1.948550,1.462095,-2.448121,01097000600
06059032040,CA,-0.786918,-0.305152,0.510943,06059032040
17201003601,IL,0.853022,0.653091,-1.093531,17201003601
31043010200,NE,0.036360,-0.278417,0.466179,31043010200
34003010100,NJ,-0.697026,-0.353110,0.591245,34003010100
39035188104,OH,1.242892,0.906629,-1.518053,39035188104
42091208301,PA,-0.184057,-0.443527,0.742638,42091208301
48361021900,TX,0.309156,0.320736,-0.537038,48361021900
06085505302,CA,-0.976185,-0.504618,0.844929,06085505302
16031950500,ID,0.011954,-0.017496,0.029295,16031950500
19023070200,IA,0.666149,0.545049,-0.912626,19023070200
47187050701,TN,-0.684788,-0.915006,1.532078,47187050701
48029181712,TX,-0.031625,0.108024,-0.180875,48029181712
36117020102,NY,-0.113131,-0.394091,0.659862,36117020102
38017000700,ND,0.093718,0.233339,-0.390701,38017000700
09009142700,CT,-0.170101,-0.317778,0.532084,09009142700
26139021801,MI,-0.081625,-0.154301,0.258360,26139021801
06059021923,CA,-1.028313,-0.546523,0.915093,06059021923
06085506900,CA,-0.865816,-0.394300,0.660212,06085506900
36005008700,NY,0.565570,0.843796,-1.412846,36005008700
34027043301,NJ,-0.521967,-0.187540,0.314015,34027043301
48429950300,TX,0.816387,0.285112,-0.477389,48429950300
06037481500,CA,-0.402555,0.087565,-0.146618,06037481500
18039002200,IN,0.525987,-0.089565,0.149967,18039002200
28049000500,MS,1.435735,0.427601,-0.715972,28049000500
48113009611,TX,-0.121004,-0.013946,0.023351,48113009611
53061051916,WA,-0.731564,-0.172955,0.289595,53061051916
01109188700,AL,0.920875,0.108290,-0.181320,01109188700
04027011106,AZ,0.668893,0.953419,-1.596398,04027011106
17031829200,IL,0.210260,0.397158,-0.664997,17031829200
18081610100,IN,-0.325754,-0.763190,1.277879,18081610100
48061013303,TX,0.200385,0.327827,-0.548911,48061013303
13131950400,GA,0.827774,0.515920,-0.863852,13131950400
53033001900,WA,-1.256898,-0.687763,1.151584,53033001900
32003003414,NV,0.152004,0.346042,-0.579410,32003003414
39153504800,OH,0.333623,-0.048368,0.080987,39153504800
50017959800,VT,-0.125583,0.197607,-0.330872,50017959800
53035091201,WA,-0.308055,0.260173,-0.435631,53035091201
24033803900,MD,-0.209811,-0.040348,0.067559,24033803900
27111961000,MN,0.447129,0.366450,-0.613581,27111961000
36055013901,NY,0.318477,0.577696,-0.967290,36055013901
42125795900,PA,0.211174,-0.061740,0.103377,42125795900
19159950100,IA,0.425527,0.251613,-0.421300,19159950100
